lemme,cgram,genre,freqlem,forms
chapeau,NOM,m,68.162,"chapeau, chapeaux"
contact,NOM,m,68.098,"contact, contacts"
joue,NOM,f,68.072,"joue, joues"
bordel,NOM,m,68.018,"bordel, bordels"
centre,NOM,m,67.984,"centre, centres"
combat,NOM,m,67.92599999999999,"combat, combats"
fer,NOM,m,67.924,fer/fère fers
règle,NOM,f,67.678,"règle, règles"
salaud,NOM,m,67.57600000000001,"salaud, salauds"
héros,NOM,m,67.05600000000001,héros/héroïne héros/héroïnes
dossier,NOM,m,66.994,"dossier, dossiers"
métier,NOM,m,66.83000000000001,"métier, métiers"
chaussure,NOM,f,66.744,"chaussure, chaussures"
expérience,NOM,f,66.712,"expérience, expériences"
étage,NOM,m,66.49000000000001,"étage, étages"
voisin,NOM,m,66.328,voisin/voisine voisins/voisines
forêt,NOM,f,66.28800000000001,"forêt, forêts"
toit,NOM,m,66.11,"toit, toits"
côte,NOM,f,66.096,"côte, côtes"
allemand,NOM,m,66.068,allemand/allemande allemands/allemandes
tableau,NOM,m,66.066,"tableau, tableaux"
relation,NOM,f,65.914,"relation, relations"
étoile,NOM,f,65.506,"étoile, étoiles"
pote,NOM,m,65.492,"pote, potes"
réalité,NOM,f,65.37,"réalité, réalités"
opération,NOM,f,65.244,"opération, opérations"
bar,NOM,m,65.082,"bar, bars"
système,NOM,m,64.936,"système, systèmes"
officier,NOM,m,64.83,officier/officière officiers
importance,NOM,f,64.716,"importance, importances"
condition,NOM,f,64.686,"condition, conditions"
adresse,NOM,f,64.27199999999999,"adresse, adresses"
bière,NOM,f,64.24600000000001,"bière, bières"
salon,NOM,m,64.032,"salon, salons"
maladie,NOM,f,63.896,"maladie, maladies"
décision,NOM,f,63.888,"décision, décisions"
plage,NOM,f,63.67,"plage, plages"
lune,NOM,f,63.288000000000004,"lune, lunes"
témoin,NOM,m,63.272000000000006,"témoin, témoins"
hiver,NOM,m,63.188,"hiver, hivers"
idiot,NOM,m,63.153999999999996,idiot/idiote idiots/idiotes
foi,NOM,f,63.032,foi
chair,NOM,f,62.918000000000006,"chair, chairs"
parti,NOM,m,62.898,"parti, partis"
tort,NOM,m,62.782,"tort, torts"
chemise,NOM,f,62.764,"chemise, chemises"
paquet,NOM,m,62.652,"paquet, paquets"
spectacle,NOM,m,62.626,"spectacle, spectacles"
magasin,NOM,m,62.58800000000001,"magasin, magasins"
pauvre,NOM,,62.42,"pauvre, pauvres"
anglais,NOM,m,62.418,anglais/anglaise anglais/anglaises
position,NOM,f,62.396,"position, positions"
mme,NOM,f,62.28,mme
étranger,NOM,m,62.24,étranger/étrangère étrangers/étrangères
oeuvre,NOM,,62.068,"oeuvre, oeuvres"
voie,NOM,f,62.040000000000006,"voie, voies"
espace,NOM,,61.726,"espace, espaces"
risque,NOM,m,61.706,"risque, risques"
foule,NOM,f,61.606,"foule, foules"
terrain,NOM,m,61.44,"terrain, terrains"
enfance,NOM,f,61.402,"enfance, enfances"
lait,NOM,m,60.936,"lait, laits"
troupe,NOM,f,60.722,"troupe, troupes"
sein,NOM,m,60.559999999999995,"sein, seins"
devoir,NOM,m,60.370000000000005,"devoir, devoirs"
acteur,NOM,m,60.18599999999999,acteur/actrice acteurs/actrices
banque,NOM,f,59.96199999999999,"banque, banques"
conscience,NOM,f,59.938,"conscience, consciences"
repas,NOM,m,59.766000000000005,repas
membre,NOM,m,59.580000000000005,"membre, membres"
thé,NOM,m,59.349999999999994,"thé, thés"
couloir,NOM,m,59.31400000000001,"couloir, couloirs"
nord,NOM,m,59.148,nord
gare,NOM,f,59.102000000000004,"gare, gares"
sortie,NOM,f,58.794,"sortie, sorties"
valise,NOM,f,58.730000000000004,"valise, valises"
destin,NOM,m,58.71,"destin, destins"
ange,NOM,m,58.562,"ange, anges"
secours,NOM,m,58.403999999999996,secours
pomme,NOM,f,58.354,"pomme, pommes"
volonté,NOM,f,58.22,"volonté, volontés"
intention,NOM,f,58.126000000000005,"intention, intentions"
époux,NOM,m,57.852000000000004,époux/épouse époux/épouses
bonne,NOM,f,57.744,"bonne, bonnes"
juge,NOM,m,57.653999999999996,"juge, juges"
poitrine,NOM,f,57.653999999999996,"poitrine, poitrines"
arrivée,NOM,f,57.596,"arrivée, arrivées"
ministre,NOM,,57.306,"ministre, ministres"
blanc,NOM,m,57.072,"blanc, blancs"
acte,NOM,m,57.006,"acte, actes"
taxi,NOM,m,56.99,"taxi, taxis"
taille,NOM,f,56.498000000000005,"taille, tailles"
poids,NOM,m,56.272,poids
souffle,NOM,m,56.268,"souffle, souffles"
toilette,NOM,f,55.976,"toilette, toilettes"
camion,NOM,m,55.97200000000001,"camion, camions"
neige,NOM,f,55.956,"neige, neiges"
couteau,NOM,m,55.946,"couteau, couteaux"
