word,pos,definition
Pourriel,n.m. inf.,Courriel publicitaire non sollicité.
Pourvoirie,n.f.,Entreprise au service des chasseurs et des pêcheurs.
Poutine,n.f.,Frites au fromage.
Précurseure,adj.f et n.f.,Féminin de précurseur.
Prédécesseure,n.f.,Féminin de prédécesseur.
Présentement,adv.,Maintenant; à présent.
"Procureur, E",n.,Avocat ou toute autre personne chargée de représenter quelqu'un en justice par procuration et d'agir en son nom.
Prusse,n.m.,"En Acadie, épicéa."
Publiciel,n.m. inf.,Logiciel public.
Quahog,n.m. zool.,Clam.
Québéciser,vt.,Doter d'une identité ou d'une spécificité québécoise.
Quétaine,adj.,De mauvais goût.
Quétainerie,n.f.,Action quétaine.
"Quêteux, Euse",adj et n.,Mendiant.
"Quilleur, Euse",n.,Joueur de quilles.
Rabaska,n.m.,Grand canot d’écorce.
Rabiole,n.f.,Variété de navet blanc.
Raboudiner,vt. fam.,Rafistoler.
"Raccompagnateur, Trice",n.,"Personne qui reconduit qqn à son domicile, par sécurité."
Raccompagnement,n.m.,"Action de reconduire quelqu'un à son domicile, pour des raisons de sécurité."
Radioroman,n.m.,Feuilleton radiophonique.
Rafaler,vt.,Souffler en rafales.
Ramancher,vt. fam.,Rafistoler.
"Ramancheur, Euse",n.,"Guérisseur, rebouteux."
Rapailler,vt. fam.,Rassembler des objets épars.
Raplomber,v.pr.,Retrouver son équilibre.
"Ratoureur, Euse",adj et n. fam.,"Rusé, malin."
"Recevant, E",adj.,"Accueilllant, hospitalier."
Recherchiste,n.,Documentaliste.
Reculon,n.m.,Pellicule qui se détache de la peau autour des ongles.
Registraire,n.,Employé administratif dans un établissement d'enseignement.
Relationniste,n.,Spécialiste des relations publiques.
Relish,n.f.,Condiment aux cornichons.
Renforcir,vt. fam.,Fortifier.
Renipper,vt.,Embellir.
Renoter,vt.,Rabâcher.
Rescaper,vt.,Sauver d'un danger.
Retiger,vi.,Produire de nouvelles tiges.
Retontir,vi.,Réapparaître - Rebondir.
Revirer,vt.,Retourner.
Réviseure,n.f.,"(Nouveau féminin de RÉVISEUR, EUSE)."
Ringuette,n.f.,Sport collectif féminin proche du hockey sur glace.
Robine,n.f.,Alcool dénaturé.
"Robineux, Euse",n.,Clochard qui boit de la robine.
Roquille,n.f.,Mesure de capacité.
"Rousselé, E",adj et n.,Parsemé de taches de rousseur.
Rousseler,vt.,(Je rousselle...) Se couvrir de taches de rousseur.
Rye,n.m.,Whisky canadien à base de seigle.
"Sacrant, E",adj. fam.,Contrariant.
Sacre,n.m.,"Blasphème, juron issu du vocabulaire religieux."
Sacrer,vi.,Blasphémer.
Sapinage,n.m.,Branches de conifère.
Saucette,n.f.,Baignade rapide.
Savane,n.f.,"Terrain bas et humide, souvent marécageux, impropre à la culture."
"Séraphin, E",adj.,Avare.
Siffleux,n.m.,Marmotte.
Siler,vi.,Produire un son aigu.
Sloche,n.f.,(Ou SLUSH) Neige fondante souvent mêlée de sel ou de sable.
"Snoreau, X",n.m.,Enfant espiègle.
Solage,n.m.,"Fondations, assise d'une maison."
"Songé, E",adj. fam.,"Réfléchi, intelligent."
Souffleuse,n.f.,Chasse-neige muni d'un dispositif qui projette la neige à distance.
"Soûlon, Onne",n. et adj.,Ivrogne.
Soupane,n.f.,Bouillie de farine d'avoine.
Souque,n.f.,"Souque à la corde, jeu où deux équipes tirent un câble chacune de leur côté pour entraîner l'adversaire; fig., épreuve de force."
"Soutenant, E",adj.,Nourrissant.
Soya,n.m.,Soja.
Sparage,n.f. fam.,Gesticulation ridicule.
Subler,vt.,"En Acadie, siffler."
Subpoena,n.m. dr.,Assignation.
Surtemps,n.m.,Temps de travail fourni en supplément des heures normales.
Syntonisateur,n.m.,Syntoniseur.
