"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche
"délivrance des diplômes (n. f.)",normalisation,"éducation > sanction des études",2004-05-01,1982-05-01,Acte administratif par lequel une autorité légalement reconnue délivre des diplômes et atteste ainsi l'atteinte des exigences des différents programmes d'études.,degree granting,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198711/delivrance-des-diplomes
"station-service (n. f.)",normalisation,"entreprise > entreprise commerciale;industrie automobile > garage et station-service;pétrole et gaz naturel",2011-01-17,1982-08-01,"Poste de distribution d'essence ou d'autres carburants, offrant également les services d'entretien courant des véhicules à moteur.",service station,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198714/station-service
"cryoprotecteur (n. m.)",normalisation,"alimentation > additif alimentaire",2000-09-01,1991-02-01,Additif utilisé pour ralentir les phénomènes de dénaturation des protéines qui surviennent durant l'entreposage à l'état congelé.,cryoprotectant,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198715/cryoprotecteur
"pelle à benne preneuse (n. f.)",normalisation,"matériel de terrassement",1999-11-01,1981-10-01,Pelle mécanique assurant la prise verticale et profonde de matériaux au moyen d'une flèche grue dont le câble est équipé d'une benne à deux coquilles jointives.,clamshell excavator,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198717/pelle-a-benne-preneuse
"centre commercial (n. m.)",normalisation,"industrie de la construction > type de bâtiment;entreprise > entreprise commerciale;commerce",2016-02-22,1981-01-01,"Ensemble de magasins de détail, qui peut comprendre un ou plusieurs magasins à grande surface, et de divers services, comme un bureau de poste, une banque ou un restaurant, occupant un ou plusieurs bâtiments donnant sur un parc de stationnement dans une zone urbaine ou à proximité.",shopping centre,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198718/centre-commercial
"établissement (n. m.)",normalisation,"éducation > établissement d'enseignement",2002-12-01,1982-01-01,Lieu où l'on offre un enseignement scolaire.,institution,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198719/etablissement
"déclaration sous serment (n. f.)",normalisation,"droit > preuve",2015-01-05,2000-12-01,"Déclaration appuyée d'un serment, reçue et attestée par une personne dûment autorisée.",sworn statement,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198720/declaration-sous-serment
"édicter (v.)",normalisation,"droit",2000-07-01,1994-09-01,Établir une norme juridique.,enact,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198721/edicter
"essence sans plomb (n. f.)",normalisation,"pétrole et gaz naturel > produit pétrolier",2000-07-01,1982-08-01,"Essence automobile ne contenant pas d'additif au plomb, fonctionnant dans toutes les conditions climatiques.",unleaded gasoline,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198722/essence-sans-plomb
"essence (n. f.)",normalisation,"pétrole et gaz naturel > produit pétrolier",2000-07-01,1982-08-01,"Mélange d'hydrocarbures provenant du raffinage du pétrole, employé principalement comme carburant dans les moteurs à allumage commandé.",gasoline,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198723/essence
"essence ordinaire (n. f.)",normalisation,"pétrole et gaz naturel > produit pétrolier",2000-07-01,1982-08-01,"Essence automobile à indice d'octane normal, fonctionnant dans toutes les conditions climatiques.",regular gasoline,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198724/essence-ordinaire
"supercarburant (n. m.)",normalisation,"pétrole et gaz naturel > produit pétrolier",2000-07-01,1982-08-01,Essence automobile dont l'indice d'octane est supérieur à celui de l'essence ordinaire.,premium grade gasoline,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198725/supercarburant
"télécopie (n. f.)",normalisation,"informatique > télécopie;télécommunication",2005-08-01,1997-07-01,Technique qui permet la transmission et la reproduction à distance de documents par l'intermédiaire d'équipements raccordés à un réseau de télécommunication.,fax,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198728/telecopie
"télécopie (n. f.)",normalisation,"informatique > télécopie;télécommunication",2009-04-07,1997-07-01,Document transmis et reproduit par télécopie.,fax,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198729/telecopie
